#File containing infomation on distributions for model params assumes gaussian distribution
Name,Mean,STD
#Density
Density,1,0
#Number of feral groups
N_feral,1000,0
#Number of farms
N_farm,0,0
#Number of interconnection for groups within population
N_int,8,0
#Intra feral transmission
B_feral,1,0.02
#Intra farm transmission
B_farm,1,0
#Inter feral transmission
Inter_feral,0.1,0.002
#Farm - feral transmission
Farm_Feral,0.01,0
#Death Probability
Death,0.8,0.01
#Recovery period (days)
Recovery,7,1
#Latent Rate
Latent,7,1
#Corpse infection modifier
Corpse,0.69,0
#Corpse decay rate farm
Decay_farm,1,0
#Corpse decay rate feral
Decay_feral,75,5
#Feral population size
Feral_p,4,1
#Farm population size
Farm_p,1000,100
#Exposed population size in seeded populations 
Exp_p,3,0
#Infected population size in seeded populations
Inf_p,2,0
#Natural Birth Rate
Birth_N,0.0015,0.0001
#Natural Death Rate
Death_N,0.0007,0.0001
#Immunity waning rate
Immunity,10080,7
